2026-09-02 21:58:29.725 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 7890 (http)
2026-09-02 21:58:29.729 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7890"]
2026-09-02 21:58:29.730 [main]  INFO org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-09-02 21:58:29.730 [main]  INFO org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-09-02 21:58:29.744 [main]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-02 21:58:29.744 [main]  INFO org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 358 ms
2026-09-02 21:58:29.776 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-09-02 21:58:29.836 [main]  INFO com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:mydata user=SA
2026-09-02 21:58:29.837 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-09-02 21:58:30.036 [main]  INFO org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:mydata'
2026-09-02 21:58:30.053 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7890"]
2026-09-02 21:58:30.056 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 7890 (http) with context path '/'
2026-09-02 21:58:30.060 [main]  INFO com.example.pointapi.PointApiApplication - Started PointApiApplication in 0.823 seconds (process running for 1.014)
2026-09-02 21:58:30.061 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-02 21:58:30.061 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /swagger-ui endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-02 21:59:44.667 [http-nio-7890-exec-1]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-02 21:59:44.667 [http-nio-7890-exec-1]  INFO org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-02 21:59:44.668 [http-nio-7890-exec-1]  INFO org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-02 21:59:44.816 [http-nio-7890-exec-3]  INFO org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 85 ms
2026-09-02 22:12:31.273 [SpringApplicationShutdownHook]  INFO org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-09-02 22:12:31.278 [tomcat-shutdown]  INFO org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-09-02 22:12:31.281 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-09-02 22:12:31.284 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-09-02 22:12:32.682 [background-preinit]  INFO org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-09-02 22:12:32.694 [main]  INFO com.example.pointapi.PointApiApplication - Starting PointApiApplication using Java 21.0.11 with PID 31055 (/Users/martin/workspace/musinsa/point-api/build/classes/java/main started by martin in /Users/martin/workspace/musinsa/point-api)
2026-09-02 22:12:32.694 [main]  INFO com.example.pointapi.PointApiApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-02 22:12:33.025 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 7890 (http)
2026-09-02 22:12:33.057 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7890"]
2026-09-02 22:12:33.058 [main]  INFO org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-09-02 22:12:33.058 [main]  INFO org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-09-02 22:12:33.081 [main]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-02 22:12:33.081 [main]  INFO org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 374 ms
2026-09-02 22:12:33.122 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-09-02 22:12:33.183 [main]  INFO com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:mydata user=SA
2026-09-02 22:12:33.184 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-09-02 22:12:33.382 [main]  INFO org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:mydata'
2026-09-02 22:12:33.400 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7890"]
2026-09-02 22:12:33.403 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 7890 (http) with context path '/'
2026-09-02 22:12:33.406 [main]  INFO com.example.pointapi.PointApiApplication - Started PointApiApplication in 0.853 seconds (process running for 1.016)
2026-09-02 22:12:33.407 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-02 22:12:33.407 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /swagger-ui endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-02 22:12:40.042 [http-nio-7890-exec-1]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-02 22:12:40.043 [http-nio-7890-exec-1]  INFO org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-02 22:12:40.044 [http-nio-7890-exec-1]  INFO org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-02 22:12:40.212 [http-nio-7890-exec-3]  INFO org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 103 ms
2026-09-02 22:20:27.198 [SpringApplicationShutdownHook]  INFO org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-09-02 22:20:27.202 [tomcat-shutdown]  INFO org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-09-02 22:20:27.204 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-09-02 22:20:27.206 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
